prospect_id,lead_number,lead_origin,lead_source,do_not_email,do_not_call,totalvisits,total_time_spent_on_website,page_views_per_visit,last_activity,country,specialization,how_did_you_hear_about_x_education,what_is_your_current_occupation,what_matters_most_to_you_in_choosing_a_course,search,magazine,newspaper_article,x_education_forums,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_courses,tags,lead_quality,update_me_on_supply_chain_content,get_updates_on_dm_content,lead_profile,city,asymmetrique_activity_index,asymmetrique_profile_index,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque,a_free_copy_of_mastering_the_interview,last_notable_activity,converted,Conversion_Probability,Converted_Prediction,Recommended_Pitch_Persona
fb582909-5ed2-4ea3-ab64-aa2469387b5e,605328,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9986358067744464,1,Conservative Wealth Preserver
9feb6db6-ece4-4c2a-9221-de35dc1c6b3e,605230,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9986358067744464,1,Conservative Wealth Preserver
f12dfdf7-c8a6-4765-a681-dde85cf60453,605267,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9986358067744464,1,Conservative Wealth Preserver
d0514e93-3542-4931-9b36-8eabf519606d,624434,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9986358067744464,1,Conservative Wealth Preserver
9b663a0c-68dd-4606-991a-14540d090c97,605275,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.997477156795819,1,Conservative Wealth Preserver
cbefca85-bd57-43f1-8c8e-b477385aa69e,606316,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.997477156795819,1,Conservative Wealth Preserver
58e3a310-01cd-411f-b7fe-c2aa57c483a6,605316,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.997477156795819,1,Conservative Wealth Preserver
f677b0c5-d97c-423b-ae4f-8dd0ad97c957,605319,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9973743544145209,1,Conservative Wealth Preserver
d0849dba-2a45-4672-9e10-12a1248e8539,633962,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9973743544145209,1,Conservative Wealth Preserver
3de6cab2-4e95-4696-805a-1de0e452daf4,632807,Lead Add Form,Reference,No,No,0,0,0.0,SMS Sent,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1,0.9973743544145209,1,Conservative Wealth Preserver
