Investor_ID,Longevity,Female,Age,Income,ProfManage,Diversification,Affordability,Liquidity,Growth,Trustworthiness,Technology,Integrity,BrandValue,AUM,Persona_Cluster,Recommended_Fund_Type,Recommended_Distributor_To_Contact
1,1,0,1,1,1,2,6,4,3,3,5,2,2,98062,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
2,2,0,1,1,2,1,6,3,4,2,6,2,1,99187,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
3,8,0,2,1,0,1,7,5,3,3,3,4,3,180043,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
4,8,0,2,1,1,2,6,5,4,4,2,4,2,159982,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
5,18,0,3,1,2,0,7,7,3,6,0,6,6,459815,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
6,2,0,1,2,2,1,4,4,5,2,7,2,1,273750,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
7,9,0,2,2,4,3,5,6,5,3,5,3,4,2282344,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
8,9,0,2,2,3,4,5,6,6,3,6,3,4,2452252,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
9,10,0,2,2,4,4,4,5,5,2,6,2,4,2704762,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
10,11,0,2,2,4,3,6,5,4,2,5,1,4,2820556,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
11,19,0,3,2,6,6,3,6,6,6,2,6,7,4746277,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
12,19,0,3,2,7,7,3,7,7,5,2,7,6,4490534,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
13,4,0,1,3,2,3,2,4,5,4,6,3,3,1358420,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
14,4,0,1,3,2,4,1,3,5,4,7,3,3,1608154,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
15,12,0,2,3,4,4,2,3,6,4,3,4,3,4830633,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
16,13,0,2,3,3,4,3,3,5,5,2,3,4,4380080,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
17,12,0,2,3,3,4,1,3,7,4,2,4,4,4182314,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
18,23,0,3,3,6,5,1,2,6,6,1,7,6,7979653,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
19,22,0,3,3,7,5,0,0,5,7,2,6,7,7206858,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
20,24,0,3,3,6,4,1,0,7,7,1,7,6,7442456,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
21,5,0,1,4,2,6,1,1,5,3,7,2,3,3378709,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
22,16,0,2,4,3,6,0,1,5,4,5,2,2,6568116,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
23,24,0,3,4,6,7,2,1,6,6,1,7,6,16744595,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
24,25,0,3,4,7,6,1,0,6,6,2,6,7,18911813,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
25,1,1,1,1,1,2,6,4,3,3,5,2,2,99782,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
26,1,1,1,1,2,1,6,3,4,2,6,2,1,99542,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
27,8,1,2,1,1,2,6,5,4,4,2,4,2,132244,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
28,1,1,1,2,2,1,4,4,5,2,7,2,1,253138,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
29,9,1,2,2,4,3,5,6,5,3,5,3,4,2145364,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
30,10,1,2,2,3,4,5,6,6,3,6,3,4,2331221,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
31,12,1,2,2,4,4,4,5,5,2,6,2,4,2657126,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
32,18,1,3,2,7,7,3,7,7,5,2,7,6,4470404,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
33,4,1,1,3,2,3,2,4,5,4,6,3,3,1545421,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
34,12,1,2,3,4,4,2,3,6,4,3,4,3,4264422,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
35,13,1,2,3,3,4,3,3,5,5,2,3,4,4418525,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
36,14,1,2,3,3,4,1,3,7,4,2,4,4,4127408,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
37,16,1,2,3,4,4,2,3,5,5,1,3,3,4838072,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
38,23,1,3,3,6,4,1,0,7,7,1,7,6,7692268,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
39,7,1,1,4,2,6,1,1,5,3,7,2,3,4027729,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
40,25,1,3,4,7,6,1,0,6,6,2,6,7,12469566,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
41,1,0,1,1,1,2,6,4,3,3,5,2,2,98029,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
42,2,0,1,1,2,1,6,3,4,2,6,2,1,99776,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
43,8,0,2,1,0,1,7,5,3,3,3,4,3,180406,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
44,8,0,2,1,1,2,6,5,4,4,2,4,2,160071,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
45,18,0,3,1,2,0,7,7,3,6,0,6,6,459904,0.0,Equity & High Growth Funds,NJ IndiaInvest Pvt Ltd (National Distributor)
46,2,0,1,2,2,1,4,4,5,2,7,2,1,273367,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
47,9,0,2,2,4,3,5,6,5,3,5,3,4,2341588,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
48,9,0,2,2,3,4,5,6,6,3,6,3,4,2379956,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
49,10,0,2,2,4,4,4,5,5,2,6,2,4,2724531,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
50,11,0,2,2,4,3,6,5,4,2,5,1,4,2862220,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
51,19,0,3,2,6,6,3,6,6,6,2,6,7,4685919,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
52,19,0,3,2,7,7,3,7,7,5,2,7,6,4441102,3.0,Index & Passive Smart-Beta,Zerodha Fund House / Coin
53,4,0,1,3,2,3,2,4,5,4,6,3,3,1355749,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
54,4,0,1,3,2,4,1,3,5,4,7,3,3,1666574,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
55,12,0,2,3,4,4,2,3,6,4,3,4,3,4910999,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
56,13,0,2,3,3,4,3,3,5,5,2,3,4,4392327,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
57,12,0,2,3,3,4,1,3,7,4,2,4,4,4157269,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
58,23,0,3,3,6,5,1,2,6,6,1,7,6,7911320,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
59,22,0,3,3,7,5,0,0,5,7,2,6,7,7136074,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
60,24,0,3,3,6,4,1,0,7,7,1,7,6,7424625,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
61,5,0,1,4,2,6,1,1,5,3,7,2,3,3357427,2.0,Hybrid & Asset Allocation,Prudent Corporate Advisory Services Ltd
62,16,0,2,4,3,6,0,1,5,4,5,2,2,6568703,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
63,24,0,3,4,6,7,2,1,6,6,1,7,6,17148906,1.0,Liquid & Debt Preservation,State Bank of India (Wealth)
