Prospect ID,Lead Origin,Lead Source,Total Time Spent on Website,Last Activity,Converted,AI_Conversion_Probability,Lead_Tier,Recommended_Asset_Class
7927b2df-8bba-4d29-b9a2-b6e0beafe620,API,Olark Chat,0,Page Visited on Website,0,0.21715736430274768,Tier 3: Cold,Debt Scheme
2a272436-5132-4136-86fa-dcc88c88f482,API,Organic Search,674,Email Opened,0,0.3434209607121776,Tier 3: Cold,Debt Scheme
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,Landing Page Submission,Direct Traffic,1532,Email Opened,1,0.9122782431253075,Tier 1: Hot,Equity Scheme
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,Landing Page Submission,Direct Traffic,305,Unreachable,0,0.3463775675647408,Tier 3: Cold,Debt Scheme
3256f628-e534-4826-9d63-4a8b88782852,Landing Page Submission,Google,1428,Converted to Lead,1,0.7452454057283066,Tier 2: Nurture,Equity Scheme
2058ef08-2858-443e-a01f-a9237db2f5ce,API,Olark Chat,0,Olark Chat Conversation,0,0.42021015254252636,Tier 3: Cold,Debt Scheme
9fae7df4-169d-489b-afe4-0f3d752542ed,Landing Page Submission,Google,1640,Email Opened,1,0.7168442475287778,Tier 2: Nurture,Equity Scheme
20ef72a2-fb3b-45e0-924e-551c5fa59095,API,Olark Chat,0,Olark Chat Conversation,0,0.25759281772382336,Tier 3: Cold,Debt Scheme
cfa0128c-a0da-4656-9d47-0aa4e67bf690,Landing Page Submission,Direct Traffic,71,Email Opened,0,0.16978328665371945,Tier 3: Cold,Debt Scheme
af465dfc-7204-4130-9e05-33231863c4b5,API,Google,58,Email Opened,0,0.20767928057471777,Tier 3: Cold,Debt Scheme
2a369e35-ca95-4ca9-9e4f-9d27175aa320,Landing Page Submission,Organic Search,1351,Email Opened,1,0.7059695033457827,Tier 2: Nurture,Equity Scheme
9bc8ce93-6144-49e0-9f9d-080fc980f83c,Landing Page Submission,Direct Traffic,1343,Page Visited on Website,1,0.9812738571269783,Tier 1: Hot,Equity Scheme
8bf76a52-2478-476b-8618-1688e07874ad,API,Organic Search,1538,Email Opened,1,0.9414083658321223,Tier 1: Hot,Equity Scheme
88867067-3750-4753-8d33-1c7d1db53b5e,Landing Page Submission,Organic Search,170,Email Opened,0,0.20645433906991278,Tier 3: Cold,Debt Scheme
a8531c22-fcf1-48f8-a711-fb5abf98ad87,Landing Page Submission,Direct Traffic,481,Email Bounced,0,0.3697850825825124,Tier 3: Cold,Debt Scheme
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,API,Organic Search,1012,Email Opened,1,0.7531873078574958,Tier 2: Nurture,Equity Scheme
3abb7c77-1634-4083-9a9f-861068220611,API,Olark Chat,0,Olark Chat Conversation,0,0.18476856220459975,Tier 3: Cold,Debt Scheme
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,API,Referral Sites,973,Email Link Clicked,0,0.159170212196797,Tier 3: Cold,Debt Scheme
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,Landing Page Submission,Google,1688,Page Visited on Website,1,0.8252640554062135,Tier 1: Hot,Equity Scheme
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,API,Organic Search,98,Page Visited on Website,0,0.1453971902965094,Tier 3: Cold,Debt Scheme
c4419c99-b002-408b-a6fd-fa100716592c,Landing Page Submission,Google,233,Unreachable,0,0.2588138160876237,Tier 3: Cold,Debt Scheme
fd71ab5b-53b8-4105-9960-efedc44962fa,API,Google,377,Page Visited on Website,0,0.277425540627018,Tier 3: Cold,Debt Scheme
8fd38b83-5c32-4277-bcfb-499f34a01c56,Landing Page Submission,Google,1013,Converted to Lead,1,0.7847219480752132,Tier 2: Nurture,Equity Scheme
ecbc6e69-29a9-44bf-804a-13079ef301bc,Landing Page Submission,Google,771,Email Link Clicked,0,0.3216492188165484,Tier 3: Cold,Debt Scheme
ecd117ca-375f-49ea-afd6-b52b84d00c69,API,Google,1137,Email Opened,1,0.8322602954229404,Tier 1: Hot,Equity Scheme
31c326f0-4a9b-43a6-9006-99d3830fbcae,Landing Page Submission,Google,1068,Form Submitted on Website,1,0.927701028803974,Tier 1: Hot,Equity Scheme
c494aca4-8c8e-4081-9784-41eb6346015e,Landing Page Submission,Organic Search,1000,Email Opened,1,0.7579053968259243,Tier 2: Nurture,Debt Scheme
6d143c0e-abae-425f-a2c0-52c2946cbd45,Landing Page Submission,Google,1315,Email Opened,1,0.8491279871399473,Tier 1: Hot,Equity Scheme
8247051c-f838-4a41-b39c-1f0b44c3d5e6,Landing Page Submission,Direct Traffic,182,Email Opened,0,0.15110591695723788,Tier 3: Cold,Debt Scheme
b3455e2e-8236-478a-b1aa-666ad3381722,API,Google,78,Unreachable,1,0.7134706196887993,Tier 2: Nurture,Debt Scheme
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,Landing Page Submission,Direct Traffic,1174,Email Opened,1,0.8761880070514171,Tier 1: Hot,Equity Scheme
d2055a36-b268-43a0-beeb-9a715f6a660d,API,Google,88,Email Opened,0,0.28265956167461737,Tier 3: Cold,Debt Scheme
c7d82991-3477-40ca-a616-db2d09228a55,API,Referral Sites,223,Page Visited on Website,0,0.33229656762418963,Tier 3: Cold,Debt Scheme
5af0914a-fa65-48e1-b11e-b44849206dc3,API,Organic Search,74,Email Opened,0,0.23338517976413492,Tier 3: Cold,Debt Scheme
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,Landing Page Submission,Organic Search,16,Page Visited on Website,1,0.9800332895916222,Tier 1: Hot,Debt Scheme
30422ea1-36fe-465e-9e68-41ee190fefb3,API,Referral Sites,98,Email Opened,1,0.9344352309537737,Tier 1: Hot,Debt Scheme
a8ecfc52-9988-498a-9a21-df747891b847,Landing Page Submission,Google,1622,Unreachable,0,0.2015992870601661,Tier 3: Cold,Equity Scheme
e60a54bc-0816-430e-a99a-019a8b5a27e5,Landing Page Submission,Google,563,Email Opened,1,0.7283249130618513,Tier 2: Nurture,Debt Scheme
e50b7515-b5a5-4691-a450-5e28ba99b472,API,Google,310,Email Link Clicked,0,0.10830072610702672,Tier 3: Cold,Debt Scheme
d6686032-c65e-4495-a0f4-ba7471209356,Landing Page Submission,Google,25,Email Opened,1,0.8276442231844844,Tier 1: Hot,Debt Scheme
daebea93-20bd-48be-b89b-85c7711ca0d7,API,Direct Traffic,342,Email Opened,0,0.24628934025528446,Tier 3: Cold,Debt Scheme
3ec75559-60f8-46f0-9198-bd3d05c464aa,Landing Page Submission,Organic Search,38,Unsubscribed,0,0.43001944898711475,Tier 3: Cold,Debt Scheme
d262e52a-b8e1-4164-b869-bb199ddf75a9,API,Google,199,Email Opened,0,0.3525291229451983,Tier 3: Cold,Debt Scheme
abc432ac-7393-4312-b49f-c43702397416,Landing Page Submission,Google,222,Email Opened,0,0.13084429932519523,Tier 3: Cold,Debt Scheme
85195b85-b384-4745-8e50-719566f70f52,Landing Page Submission,Direct Traffic,275,Email Opened,0,0.39621130447330577,Tier 3: Cold,Debt Scheme
fd31b6df-f961-43ba-8e81-618ce5aabfe5,Landing Page Submission,Google,287,Email Opened,0,0.35630526971286336,Tier 3: Cold,Debt Scheme
18633077-5162-4cc6-8728-bc25f7a32fd1,Landing Page Submission,Direct Traffic,547,Email Opened,0,0.3138312839959286,Tier 3: Cold,Debt Scheme
3f04fd93-2884-45f6-a4fc-f3b6f234554b,API,Olark Chat,0,Olark Chat Conversation,0,0.38710253621321206,Tier 3: Cold,Debt Scheme
86681269-67b1-4909-90c0-216136535815,API,Google,1225,Page Visited on Website,0,0.24143844671003498,Tier 3: Cold,Equity Scheme
319325b3-50b3-45d0-b730-c9df0b30b9ea,API,Olark Chat,0,Olark Chat Conversation,0,0.17752536779884845,Tier 3: Cold,Debt Scheme
2def8175-7a88-405a-a932-669cacf60230,API,Olark Chat,0,Email Opened,1,0.981179542051722,Tier 1: Hot,Debt Scheme
1f13cede-ebf7-4e65-84ee-7d76e86a9094,Landing Page Submission,Google,160,Email Opened,0,0.29209461445771584,Tier 3: Cold,Debt Scheme
8597dacd-0b33-4b4f-ad9e-a9df020afd48,Landing Page Submission,Organic Search,394,Unreachable,0,0.28841423020346924,Tier 3: Cold,Debt Scheme
833153b1-e44b-4260-a4cc-5ef310cc548c,API,Google,286,Olark Chat Conversation,0,0.29777582701803684,Tier 3: Cold,Debt Scheme
b9984279-2d76-41e0-a5f3-e14d6ff68f20,API,Organic Search,96,Email Opened,0,0.43204672138371325,Tier 3: Cold,Debt Scheme
165a8ed0-7155-4b32-bb21-b356c51e0412,API,Organic Search,12,Email Opened,0,0.41578596808368096,Tier 3: Cold,Debt Scheme
59e722da-edff-43d9-af61-f5c8bcc986c4,Landing Page Submission,Referral Sites,436,Form Submitted on Website,1,0.7256628255950566,Tier 2: Nurture,Debt Scheme
171defdc-6c7b-4486-9a3b-527de447d2d5,API,Referral Sites,903,Page Visited on Website,1,0.7568350301015521,Tier 2: Nurture,Debt Scheme
d93bfdc0-4719-4f0a-ad6b-31070823dfbb,Landing Page Submission,Organic Search,409,Email Opened,0,0.43019983754284985,Tier 3: Cold,Debt Scheme
d22bfe40-a444-4e97-b6b7-ccf40117710b,Landing Page Submission,Referral Sites,685,Email Opened,0,0.13447312458779115,Tier 3: Cold,Debt Scheme
b90b70b9-5e60-41a5-87da-5eb753fc3391,API,Google,213,Form Submitted on Website,0,0.19279314150600882,Tier 3: Cold,Debt Scheme
aa613715-ff22-429d-9fbb-92da56b827aa,API,Olark Chat,0,Email Opened,0,0.2732695809791047,Tier 3: Cold,Debt Scheme
0327a12a-51cb-4782-a029-cc824e614833,API,Organic Search,1468,Page Visited on Website,1,0.9403338776540595,Tier 1: Hot,Equity Scheme
dba70a60-f322-4372-b7d5-3d24026a4750,API,Olark Chat,0,Email Link Clicked,0,0.2768079990329564,Tier 3: Cold,Debt Scheme
3ee81e25-e280-428d-94a8-af0178917bf5,Landing Page Submission,Direct Traffic,1435,Email Opened,1,0.7814710078093404,Tier 2: Nurture,Equity Scheme
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,Landing Page Submission,Google,157,Converted to Lead,1,0.857381864115892,Tier 1: Hot,Debt Scheme
ee859f2e-a35f-4d2e-980e-8163da8ca667,API,Google,885,Had a Phone Conversation,1,0.7408680252426811,Tier 2: Nurture,Debt Scheme
34571884-9e2f-404c-bc30-d5e09309b06a,API,Olark Chat,0,Email Opened,1,0.9326371244186715,Tier 1: Hot,Debt Scheme
002233e4-c3d5-4a78-b64e-fa9b7fdef393,API,Olark Chat,0,View in browser link Clicked,0,0.1576569031107034,Tier 3: Cold,Debt Scheme
991c2560-128d-4222-a4c6-5aa393c4fafa,API,Olark Chat,0,Olark Chat Conversation,0,0.22297457712922436,Tier 3: Cold,Debt Scheme
671f2615-8210-4792-abdd-a1588060cd27,Landing Page Submission,Direct Traffic,1710,Converted to Lead,0,0.19270319023475,Tier 3: Cold,Equity Scheme
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,Landing Page Submission,Direct Traffic,219,Email Opened,0,0.22245159297786746,Tier 3: Cold,Debt Scheme
fe6dff62-8217-428b-876a-ec931f251f63,Landing Page Submission,Referral Sites,111,Email Bounced,0,0.3479134171772896,Tier 3: Cold,Debt Scheme
f8497fef-9593-4bb7-898c-9f736a3b67f8,API,Organic Search,224,Page Visited on Website,0,0.22874651339998037,Tier 3: Cold,Debt Scheme
2cd9ea36-23d7-49c3-b255-a9361a4fa81b,Landing Page Submission,Direct Traffic,224,Page Visited on Website,0,0.29434216291277904,Tier 3: Cold,Debt Scheme
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,Landing Page Submission,Direct Traffic,1071,Email Opened,1,0.9114120787318863,Tier 1: Hot,Equity Scheme
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,Landing Page Submission,Google,595,Email Opened,1,0.9236684005389243,Tier 1: Hot,Debt Scheme
895d4905-f534-4f18-915b-8d239a72b5dc,Lead Add Form,Welingak Website,1096,,1,0.7214729490028862,Tier 2: Nurture,Equity Scheme
1f9032cd-77f4-453c-b84b-edd1aea26b70,API,Referral Sites,520,Email Opened,0,0.32698695566166985,Tier 3: Cold,Debt Scheme
3a0ce10f-d2c1-4213-a2bc-4f97bcd29699,Lead Add Form,Reference,705,,1,0.7336020272622876,Tier 2: Nurture,Debt Scheme
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,API,Google,393,Email Opened,0,0.17338132273909515,Tier 3: Cold,Debt Scheme
277ad6a6-4565-4a18-a1ff-e46e03f22663,Lead Add Form,Welingak Website,346,,1,0.8807564567799918,Tier 1: Hot,Debt Scheme
a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,API,Olark Chat,0,Email Link Clicked,1,0.7959604272072682,Tier 2: Nurture,Debt Scheme
09526992-b1fb-4763-8cca-355bc5dac5e3,API,Olark Chat,0,Olark Chat Conversation,0,0.2500537996130185,Tier 3: Cold,Debt Scheme
